member,address,start_date,end_date,season
danelund.eth,0x8e0c66bf9fca6acdc97c2b753aae0c89e9377b74,1/26/2023,6/7/2023,3
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,1/26/2023,6/7/2023,3
Kaereste,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,1/26/2023,6/7/2023,3
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,1/26/2023,6/7/2023,3
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1/26/2023,6/7/2023,3
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,1/26/2023,6/7/2023,3
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,1/26/2023,6/7/2023,3
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1/26/2023,6/7/2023,3
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,1/26/2023,6/7/2023,3
danelund.eth,0x8e0c66bf9fca6acdc97c2b753aae0c89e9377b74,6/8/2023,1/3/2024,4
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,6/8/2023,1/3/2024,4
Kaereste ,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,6/8/2023,1/3/2024,4
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,6/8/2023,1/3/2024,4
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,6/8/2023,1/3/2024,4
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,6/8/2023,1/3/2024,4
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,6/8/2023,1/3/2024,4
Michael Vander Meiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,6/8/2023,1/3/2024,4
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,6/8/2023,1/3/2024,4
Jack Anorak,0x4f41877773e44f2275da1942fee898556821bf66,1/4/2024,6/26/2024,5
Kaereste,0x1b686ee8e31c5959d9f5bbd8122a58682788eead,1/4/2024,6/26/2024,5
Ethernaut,0x45a10f35befa4ab841c77860204b133118b7ccae,1/4/2024,6/26/2024,5
Gonna.eth,0xdcf7be2ff93e1a7671724598b1526f3a33b1ec25,1/4/2024,6/26/2024,5
Joxes,0x94db037207f6fb697dbd33524aadffd108819dc8,1/4/2024,6/26/2024,5
Katie Garcia,0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,1/4/2024,6/26/2024,5
GFX labs,0xa6e8772af29b29b9202a073f8e36f447689beef6,1/4/2024,6/26/2024,5
MoneyManDoug,0xd23199f1222c418ffc74c385171330b21b16e452,1/4/2024,6/26/2024,5
Michael Vander Maiden,0x6eda5acaff7f5964e1ecc3fd61c62570c186ca0c,1/4/2024,6/26/2024,5
Matt L,0x406b607644c5d7bfda95963201e45a4c6ab1c159,1/4/2024,6/26/2024,5
